YER066W	YMR022W
YHL006C	YHR083W
YPL129W	YHR113W
YNL189W	YLR377C
YBR142W	YBR034C
YNL289W	YPL031C
YMR212C	YBR200W
YCL032W	YPL120W
YDR128W	YBR034C
YJL090C	YKL108W
YBR057C	YPL135W
YIR038C	YDR476C
YNL025C	YLR191W
YGR089W	YNL124W
YMR048W	YNL273W
YOR243C	YMR022W
YOL044W	YJR013W
YGR239C	YDR142C
YMR313C	YHR016C
YEL056W	YPL001W
YKL049C	YMR022W
YCR086W	YPL093W
YPL043W	YOR206W
YGL172W	YLR424W
YMR277W	YCR079W
YGL035C	YBL007C
YJL085W	YIL118W
YJL151C	YGL212W
YJR115W	YBL007C
YLR291C	YOR232W
YNR045W	YKL059C
YFR055W	YDR034C
YER079W	YDR013W
YLR136C	YNL124W
YNL199C	YDL100C
YEL041W	YHR115C
YMR111C	YJR046W
YPR154W	YMR162C
YKR026C	YGL122C
YJL140W	YBR061C
YCR106W	YJL006C
YJL030W	YOL116W
YOL115W	YJL050W
YMR061W	YBR103W
YMR253C	YBL007C
YGR081C	YJL069C
YPL049C	YDR296W
YLR089C	YPR049C
YKL011C	YBR278W
YOR210W	YDR527W
YBR026C	YBR034C
YER122C	YGL137W
YDR073W	YML068W
YER018C	YMR117C
YBR085C-A	YDR091C
YMR163C	YDL065C
YNL110C	YPL240C
YMR095C	YNL124W
YDL175C	YOL115W
YLR291C	YMR095C
YMR133W	YER044C-A
YKL099C	YGL019W
YPR174C	YDR100W
YIR006C	YMR109W
YHR016C	YKL109W
YCR077C	YDL216C
YDL045C	YGR077C
YDR100W	YDL164C
YOL145C	YKL103C
YLR423C	YML041C
YDR122W	YBL023C
YCR066W	YJR072C
YGL053W	YMR079W
YLR275W	YPR182W
YNL118C	YKL133C
YLR291C	YCR020C
YLR012C	YBR034C
YNL229C	YBL100W-A
YMR043W	YGR024C
YMR290C	YJR002W
YBL007C	YGL238W
YPL004C	YDR490C
YDL218W	YFL047W
YHR160C	YDR142C
YIR038C	YOL126C
YLR208W	YDR128W
YDL125C	YPL240C
YMR071C	YAR014C
YHR149C	YJL097W
YKR072C	YMR022W
YOR111W	YFR008W
YKR036C	YMR022W
YJL208C	YDL130W
YDR478W	YHR062C
YGL198W	YDL226C
YKL201C	YNL310C
YCL059C	YIL035C
YNL084C	YNL250W
YGR262C	YNL132W
YIL156W	YBL007C
YMR092C	YBR101C
YOR355W	YNL236W
YJL201W	YBL007C
YPL138C	YDR034C
YPL017C	YOR319W
YBL037W	YFR043C
YDR399W	YOR069W
YDL207W	YOR046C
YDR479C	YPR113W
YLR423C	YML043C
YLR321C	YLR345W
YLR399C	YOL133W
YDR260C	YML023C
YIL134W	YBR217W
YPR113W	YLR072W
YDR388W	YFL039C
YDR394W	YGL048C
YLR291C	YLR258W
YBR281C	YNL287W
YJL127C	YNL124W
YMR032W	YBL085W
YJL019W	YJL147C
YPR171W	YHR114W
YMR153W	YML031W
YGR212W	YMR022W
YHL024W	YBR034C
YMR163C	YDR292C
YNL054W	YMR022W
YDL088C	YFR002W
YJR025C	YDR437W
YHR162W	YDR373W
YGL013C	YNL087W
YJL058C	YML064C
YPL255W	YGL075C
YGR211W	YGL071W
YMR061W	YGL044C
YBL007C	YOR211C
YOR269W	YMR022W
YBR088C	YIL150C
YKL042W	YDL239C
YIL153W	YDR259C
YIL144W	YDR311W
YGL215W	YAL005C
YPL014W	YAL040C
YOR317W	YBR239C
YGR142W	YMR021C
YJL167W	YDL186W
YDL176W	YGR046W
YGL104C	YIR038C
YER127W	YJL109C
YPR171W	YKL007W
YBR284W	YMR138W
YKL018W	YNL124W
YHR058C	YPL063W
YPR046W	YCR106W
YGR292W	YDL104C
YKR077W	YPR120C
YKR026C	YJL124C
YDL189W	YBR217W
YJR053W	YMR055C
YLR423C	YDR176W
YNR059W	YDR427W
YMR029C	YFR008W
YGR280C	YEL026W
YPL137C	YML023C
YBL085W	YGL201C
YOR319W	YJR022W
YJL140W	YMR309C
YGR149W	YDR479C
YOL123W	YKL059C
YOR332W	YPL240C
YJR070C	YER090W
YPR107C	YOR069W
YJR002W	YNL075W
YJL112W	YJR003C
YMR239C	YMR022W
YMR070W	YHR040W
YHR102W	YKL189W
YPL158C	YER114C
YKL078W	YDR449C
YPR116W	YMR022W
YLR352W	YDR372C
YIL122W	YPL031C
YBL025W	YMR270C
YMR021C	YJR039W
YGR280C	YLR424W
YJL158C	YHR083W
YML051W	YOL148C
YKL068W	YBR216C
YBR034C	YDR249C
YCR079W	YNL244C
YPL043W	YKL172W
YNR050C	YJR022W
YOL133W	YJL047C
YCL045C	YBL007C
YDR520C	YOL116W
YDR468C	YKR020W
YKL078W	YML093W
YGR173W	YKR086W
YLR291C	YLR386W
YLL046C	YJR072C
YHR072W	YIL046W
YOR047C	YBR175W
YPL049C	YBL016W
YBR270C	YIL046W
YER144C	YIL095W
YOR043W	YHR083W
YDL217C	YJL147C
YIL082W-A	YGR080W
YPR110C	YBR034C
YMR109W	YNL307C
YMR308C	YOR185C
YNL094W	YHR016C
YPL100W	YDR100W
YOR247W	YFR024C-A
YDR238C	YGL137W
YHR030C	YBR217W
YKR014C	YGL198W
YLR015W	YBR272C
YMR065W	YMR022W
YDR436W	YJR072C
YBL103C	YPL240C
YOR177C	YDL239C
YJL025W	YLR423C
YOR302W	YMR022W
YLL041C	YMR022W
YNL219C	YIR033W
YLR206W	YIL046W
YFL039C	YOR122C
YGL201C	YHR114W
YBL033C	YDR013W
YPL212C	YHR122W
YPL242C	YKR086W
YAL055W	YOR098C
YOR370C	YML051W
YFL044C	YDL190C
YDL031W	YDR060W
YDR145W	YHR122W
YCL031C	YLR310C
YLR291C	YGL252C
YOR206W	YOL041C
YKL050C	YDL099W
YDL150W	YHR083W
YOR043W	YDR373W
YLR324W	YMR022W
YDL239C	YNL225C
YDL031W	YPL043W
YLR424W	YPL227C
YLL001W	YJL112W
YGR049W	YGR278W
YER118C	YIL144W
YLR024C	YGL058W
YGR120C	YPR185W
YDL207W	YML031W
YIL146C	YPL240C
YLR015W	YNL124W
YOL030W	YCL019W
YNR053C	YMR049C
YNR032W	YHR083W
YJR068W	YGR046W
YMR275C	YHL002W
YLR031W	YJL036W
YJL053W	YDR372C
YDL064W	YML023C
YMR263W	YMR022W
YNL044W	YNL315C
YHR016C	YGL190C
YLR129W	YLR336C
YDL133W	YPL240C
YDR123C	YOL108C
YOR017W	YCL027W
YER026C	YPR174C
YMR109W	YGR223C
YKR062W	YKL028W
YNL141W	YGR024C
YML035C	YJL070C
YKL014C	YBR160W
YML066C	YPL240C
YML035C	YBR284W
YML099C	YCL040W
YPL049C	YER114C
YPL105C	YDR429C
YKL172W	YFR001W
YBR228W	YGR024C
YKL159C	YKL019W
YIL007C	YMR022W
YDR510W	YFL039C
YKL130C	YHR083W
YOL133W	YGL060W
YHR166C	YMR022W
YGR232W	YNL124W
YLR245C	YNL124W
YKL104C	YDR311W
YML053C	YNL124W
YLR455W	YLR223C
YOL065C	YDR479C
YGR172C	YBL049W
YNL118C	YBL054W
YOR229W	YJL189W
YKR034W	YGR247W
YPL161C	YPR165W
YNL099C	YCR095C
YKL172W	YGL120C
YIL084C	YBL050W
YIL156W	YMR109W
YGR117C	YBL066C
YLR336C	YER127W
YPL038W	YNL103W
